ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120002417,A,2004.0,1.0,E,1.0,Paved,V,BUS,SCANIA,L94UB,,8,Bus/Coach,19100.0,R,D,4.0,6.0,46.0,11220.0,5.0,7880.0,,E,1.0,1.0,H,WHI,ZZ,2.0,5,2.0,4,1.0,0.0,No control
T20120002420,A,1984.0,1.0,SE,1.0,Paved,V,SOLO,SUZUKI,GS1100,,10,Motor Cycle,,,P,2.0,4.0,,,1.0,,1100.0,SE,1.0,1.0,H,BLK,ZZ,2.0,F,2.0,5,2.0,0.0,No control
T20120002421,A,1995.0,1.0,SE,1.0,Paved,V,DC UTE,TOYOTA,HILUX,,4,Utility,,R,D,4.0,4.0,5.0,1565.0,1.0,,,SE,1.0,6.0,H,WHI,ZZ,2.0,F,2.0,1,2.0,0.0,No control
T20120002421,B,2003.0,2.0,SE,1.0,Paved,V,S WAG,MITSUB,MAGNA,,2,Station Wagon,,R,P,4.0,6.0,5.0,1515.0,1.0,,,SE,1.0,18.0,H,WHI,ZZ,2.0,8,2.0,4,1.0,0.0,No control
T20120002421,C,,8.0,SE,1.0,Paved,,,UNKN,,,99,Not Known,,,Z,,,,,1.0,,,SE,99.0,17.0,H,ZZ,ZZ,2.0,N,9.0,9,2.0,0.0,No control
T20120002423,A,2008.0,2.0,E,1.0,Paved,V,FRE,IVEC D,DAILY,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,,,Z,,4.0,3.0,3280.0,1.0,,,E,1.0,1.0,H,WHI,ZZ,2.0,F,9.0,4,1.0,15.0,Other
T20120002423,B,0.0,1.0,N,1.0,Paved,,,,,,13,Bicycle,,,,,,,0.0,1.0,,,N,1.0,1.0,H,ZZ,ZZ,0.0,5,0.0,5,1.0,5.0,Ped. crossing
T20120002424,A,2010.0,2.0,W,1.0,Paved,V,SOLO,HONDA,CT110,,10,Motor Cycle,,,P,2.0,1.0,,,1.0,,105.0,W,1.0,1.0,H,RED,ZZ,2.0,5,2.0,1,2.0,0.0,No control
T20120002424,B,2000.0,1.0,N,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4.0,4.0,5.0,1350.0,1.0,,,NK,4.0,4.0,H,SIL,ZZ,2.0,1,2.0,2,2.0,0.0,No control
T20120002425,A,2003.0,1.0,W,1.0,Paved,V,SOLO,SUZUKI,SV650N,,10,Motor Cycle,,,P,2.0,2.0,,,1.0,,650.0,W,17.0,17.0,H,SIL,ZZ,2.0,5,1.0,1,2.0,1.0,Stop-go lights
T20120002429,A,1991.0,1.0,S,1.0,Paved,V,SEDAN,NISSAN,PULSAR,,1,Car,,R,P,4.0,4.0,5.0,1000.0,1.0,,,W,2.0,2.0,H,RED,ZZ,2.0,6,2.0,4,1.0,0.0,No control
T20120002429,B,1993.0,2.0,N,1.0,Paved,V,VAN,TOYOTA,DYNA,,5,Panel Van,4450.0,R,P,6.0,4.0,3.0,3240.0,1.0,1210.0,,N,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,1,2.0,0.0,No control
T20120002432,A,,1.0,NK,1.0,Paved,,,UNKN,,,99,Not Known,,,Z,,,,,1.0,,,NK,99.0,99.0,H,ZZ,ZZ,2.0,F,2.0,9,9.0,99.0,Unknown
T20120002435,A,1998.0,1.0,E,1.0,Paved,V,SEDAN,SUBARU,IMPREZ,,1,Car,,R,P,4.0,4.0,5.0,1170.0,1.0,,,E,1.0,17.0,H,SIL,ZZ,2.0,F,2.0,5,1.0,0.0,No control
T20120002435,B,2007.0,2.0,E,1.0,Paved,V,SEDAN,MAZDA,3,,1,Car,,R,P,4.0,4.0,5.0,1227.0,5.0,,,E,17.0,17.0,H,GRY,ZZ,2.0,R,2.0,4,1.0,0.0,No control
T20120002435,C,2008.0,8.0,E,1.0,Paved,V,SEDAN,HOLDEN,SS-V,,1,Car,,R,P,4.0,8.0,5.0,1805.0,3.0,,,E,17.0,17.0,H,BLK,ZZ,2.0,R,2.0,1,2.0,0.0,No control
T20120002439,A,,1.0,E,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,E,1.0,1.0,H,ZZ,ZZ,0.0,1,2.0,6,2.0,0.0,No control
T20120002439,B,2003.0,2.0,E,1.0,Paved,V,SEDAN,MAZDA,ASTINA,,1,Car,,R,P,4.0,4.0,5.0,1144.0,1.0,,,E,1.0,1.0,H,BLK,ZZ,2.0,7,2.0,6,2.0,0.0,No control
T20120002439,C,,8.0,E,1.0,Paved,,,UNKN,,,1,Car,,,Z,,,,,1.0,,,E,11.0,11.0,H,ZZ,ZZ,2.0,9,2.0,9,2.0,0.0,No control
T20120002440,A,,1.0,W,1.0,Paved,V,,HONDA,,,10,Motor Cycle,,,Z,,,,,1.0,,,W,1.0,18.0,H,RED,BLK,2.0,N,2.0,6,2.0,0.0,No control
T20120002443,A,2010.0,1.0,E,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1235.0,2.0,,,E,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,5,1.0,11.0,Giveway sign
T20120002443,B,2006.0,2.0,S,1.0,Paved,V,VAN,REN,MASTER,,5,Panel Van,3300.0,R,D,4.0,4.0,3.0,1855.0,1.0,1445.0,,S,1.0,1.0,H,WHI,ZZ,2.0,1,2.0,5,1.0,11.0,Giveway sign
T20120002444,A,2008.0,1.0,N,3.0,Gravel,V,SOLO,SUZUKI,AN400,,12,Motor Scooter,,,P,2.0,4.0,,,1.0,,400.0,N,17.0,17.0,H,RED,ZZ,2.0,5,0.0,1,2.0,0.0,No control
T20120002447,A,2003.0,2.0,E,1.0,Paved,V,TRAY,ISUZU,WPR300,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,6500.0,R,D,4.0,4.0,3.0,3520.0,1.0,2980.0,,S,2.0,2.0,H,WHI,ZZ,2.0,5,2.0,1,2.0,0.0,No control
T20120002447,B,,1.0,S,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,S,1.0,1.0,H,ZZ,ZZ,0.0,F,0.0,1,2.0,0.0,No control
T20120002450,A,2010.0,1.0,E,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1100.0,1.0,,,S,2.0,2.0,H,RED,ZZ,2.0,6,2.0,2,2.0,0.0,No control
T20120002450,B,,2.0,W,1.0,Paved,,,,,,13,Bicycle,,,,,,,,1.0,,,W,1.0,1.0,H,ZZ,ZZ,0.0,F,2.0,2,2.0,0.0,No control
