ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120007774,B,2006.0,1.0,E,1.0,Paved,V,VAN,MAZDA,E2000,,5,Panel Van,2815.0,R,P,4.0,4.0,3.0,1436.0,1.0,1379.0,,E,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,5,1.0,0.0,No control
T20120007776,A,2009.0,1.0,N,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,3,Taxi,,R,M,4.0,6.0,5.0,1622.0,1.0,,,W,3.0,3.0,H,YLW,ZZ,2.0,F,2.0,2,2.0,1.0,Stop-go lights
T20120007776,B,2011.0,2.0,N,1.0,Paved,V,VAN,MERC B,SPRINT,,5,Panel Van,3880.0,R,D,4.0,4.0,2.0,2015.0,3.0,1865.0,,W,3.0,3.0,H,WHI,ZZ,2.0,8,2.0,2,2.0,1.0,Stop-go lights
T20120007779,A,2004.0,1.0,NW,1.0,Paved,V,S WAG,HOLDEN,COMMO,,2,Station Wagon,,R,P,4.0,6.0,5.0,1430.0,4.0,,,NW,6.0,18.0,H,WHI,ZZ,2.0,5,2.0,5,1.0,0.0,No control
T20120007780,A,1999.0,1.0,SW,1.0,Paved,V,SEDAN,HOLDEN,ASTRA,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,SW,1.0,18.0,H,SIL,ZZ,2.0,3,2.0,4,1.0,0.0,No control
T20120007781,A,2002.0,1.0,E,1.0,Paved,V,WAGON,KIA,CARNIV,,2,Station Wagon,,R,P,4.0,6.0,7.0,2500.0,1.0,,,E,1.0,18.0,H,WHI,ZZ,2.0,1,2.0,3,1.0,0.0,No control
T20120007781,B,2002.0,2.0,W,1.0,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4.0,6.0,5.0,1365.0,0.0,,,W,11.0,11.0,H,WHI,ZZ,2.0,1,2.0,3,1.0,0.0,No control
T20120007782,A,2007.0,1.0,E,1.0,Paved,V,VAN,TOYOTA,HIACE,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,2830.0,R,P,4.0,4.0,3.0,1770.0,1.0,1060.0,,S,2.0,2.0,H,WHI,ZZ,2.0,2,2.0,3,1.0,0.0,No control
T20120007782,B,2000.0,2.0,N,1.0,Paved,V,VAN,ISUZU,MPR200,,72,Heavy Vehicle (Rigid) > 4.5 Tonnes,4490.0,R,P,4.0,4.0,3.0,3160.0,1.0,1330.0,,N,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,2,2.0,0.0,No control
T20120007784,A,2003.0,2.0,W,3.0,Gravel,V,S WAG,FORD,FUTURA,,2,Station Wagon,,R,G,4.0,6.0,5.0,1600.0,3.0,,,S,3.0,15.0,H,RED,ZZ,2.0,R,2.0,1,2.0,0.0,No control
